"id";"PredictorType";"P";"C";"predictor.eff";"prevy1";"datagen";"datacor";"margp.x";"alpha";"beta";"EPV";"folders"
28;"TypeI";4;0.75;"one.noise";0.0625;"gen.MVNX";0;".";-3.0992796790236;0.566385722125709;30;"main00195"
28;"TypeI";4;0.75;"one.noise";0.0625;"gen.MVNX";0;".";-3.0992796790236;0.566385722125709;50;"main00196"
29;"TypeI";4;0.75;"one.strong";0.5;"gen.MVNX";0;".";0.00110254257106135;0.307058173544085;3;"main00197"
29;"TypeI";4;0.75;"one.strong";0.5;"gen.MVNX";0;".";0.00110254257106135;0.307058173544085;5;"main00198"
29;"TypeI";4;0.75;"one.strong";0.5;"gen.MVNX";0;".";0.00110254257106135;0.307058173544085;10;"main00199"
29;"TypeI";4;0.75;"one.strong";0.5;"gen.MVNX";0;".";0.00110254257106135;0.307058173544085;15;"main00200"
29;"TypeI";4;0.75;"one.strong";0.5;"gen.MVNX";0;".";0.00110254257106135;0.307058173544085;20;"main00201"
29;"TypeI";4;0.75;"one.strong";0.5;"gen.MVNX";0;".";0.00110254257106135;0.307058173544085;30;"main00202"
29;"TypeI";4;0.75;"one.strong";0.5;"gen.MVNX";0;".";0.00110254257106135;0.307058173544085;50;"main00203"
30;"TypeI";4;0.75;"one.strong";0.25;"gen.MVNX";0;".";-1.33153658781544;0.300303187213622;3;"main00204"
30;"TypeI";4;0.75;"one.strong";0.25;"gen.MVNX";0;".";-1.33153658781544;0.300303187213622;5;"main00205"
30;"TypeI";4;0.75;"one.strong";0.25;"gen.MVNX";0;".";-1.33153658781544;0.300303187213622;10;"main00206"
30;"TypeI";4;0.75;"one.strong";0.25;"gen.MVNX";0;".";-1.33153658781544;0.300303187213622;15;"main00207"
30;"TypeI";4;0.75;"one.strong";0.25;"gen.MVNX";0;".";-1.33153658781544;0.300303187213622;20;"main00208"
30;"TypeI";4;0.75;"one.strong";0.25;"gen.MVNX";0;".";-1.33153658781544;0.300303187213622;30;"main00209"
30;"TypeI";4;0.75;"one.strong";0.25;"gen.MVNX";0;".";-1.33153658781544;0.300303187213622;50;"main00210"
31;"TypeI";4;0.75;"one.strong";0.125;"gen.MVNX";0;".";-2.29090523083614;0.291546094856594;3;"main00211"
31;"TypeI";4;0.75;"one.strong";0.125;"gen.MVNX";0;".";-2.29090523083614;0.291546094856594;5;"main00212"
31;"TypeI";4;0.75;"one.strong";0.125;"gen.MVNX";0;".";-2.29090523083614;0.291546094856594;10;"main00213"
31;"TypeI";4;0.75;"one.strong";0.125;"gen.MVNX";0;".";-2.29090523083614;0.291546094856594;15;"main00214"
31;"TypeI";4;0.75;"one.strong";0.125;"gen.MVNX";0;".";-2.29090523083614;0.291546094856594;20;"main00215"
31;"TypeI";4;0.75;"one.strong";0.125;"gen.MVNX";0;".";-2.29090523083614;0.291546094856594;30;"main00216"
